Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
Art & Sculpture,3,108.0,-8.0,0.0,100.0
Kitchen,8,100.0,0.0,0.0,100.0
Recycled Art,1,110.0,-11.0,0.0,99.0
Basket,1,110.0,-11.0,0.0,99.0
Art & Sculpture,3,99.0,0.0,0.0,99.0
Basket,1,110.0,-11.0,0.0,99.0
Music,1,220.0,-11.0,-110.0,99.0
Recycled Art,1,110.0,-11.0,0.0,99.0
Basket,1,110.0,-11.0,0.0,99.0
Home Decor,3,114.0,-15.2,0.0,98.8
Kids,3,102.0,-3.2,0.0,98.8
Basket,3,190.0,-15.2,-76.0,98.8
Basket,3,102.0,-3.4,0.0,98.6
Kitchen,3,102.0,-3.41,0.0,98.59
Accessories,1,98.0,0.0,0.0,98.0
Jewelry,7,98.0,0.0,0.0,98.0
Accessories,1,98.0,0.0,0.0,98.0
Basket,4,146.0,-20.8,-28.0,97.2
Jewelry,3,102.0,-5.0,0.0,97.0
Kids,3,102.0,-5.09,0.0,96.91
Kitchen,9,97.5,-1.05,0.0,96.45
Art & Sculpture,3,96.0,0.0,0.0,96.0
Jewelry,2,96.0,0.0,0.0,96.0
Basket,1,96.0,0.0,0.0,96.0
Basket,2,96.0,0.0,0.0,96.0
Basket,2,96.0,0.0,0.0,96.0
Basket,2,96.0,0.0,0.0,96.0
Basket,1,96.0,0.0,0.0,96.0
Christmas,4,96.0,0.0,0.0,96.0
Jewelry,2,96.0,0.0,0.0,96.0
Furniture,2,96.0,0.0,0.0,96.0
Accessories,2,96.0,0.0,0.0,96.0
Home Decor,2,96.0,0.0,0.0,96.0
Basket,2,96.0,0.0,0.0,96.0
Art & Sculpture,2,96.0,0.0,0.0,96.0
Basket,1,96.0,0.0,0.0,96.0
Art & Sculpture,4,96.0,0.0,0.0,96.0
Basket,2,96.0,0.0,0.0,96.0
Art & Sculpture,3,96.0,0.0,0.0,96.0
Basket,2,96.0,0.0,0.0,96.0
Jewelry,3,96.0,0.0,0.0,96.0
Art & Sculpture,2,96.0,0.0,0.0,96.0
Kids,3,102.0,-6.8,0.0,95.2
Jewelry,3,102.0,-6.8,0.0,95.2
Basket,2,112.0,-16.8,0.0,95.2
Kitchen,10,105.0,-9.95,0.0,95.05
Art & Sculpture,1,95.0,0.0,0.0,95.0
Art & Sculpture,1,95.0,0.0,0.0,95.0
Basket,1,94.0,0.0,0.0,94.0
Basket,1,94.0,0.0,0.0,94.0
Art & Sculpture,3,96.0,-3.2,0.0,92.8
Basket,2,92.0,0.0,0.0,92.0
Home Decor,1,92.0,0.0,0.0,92.0
Basket,2,92.0,0.0,0.0,92.0
Basket,2,92.0,0.0,0.0,92.0
Kitchen,7,92.0,0.0,0.0,92.0
Soapstone,5,94.0,-2.2,0.0,91.8
