Month,Year,Total Orders,Gross Sales,Discounts,Returns,Net Sales,Shipping,Total Sales
January,2017,73,8861.5,-129.4,-448.45,8283.65,1088.3,9371.95
February,2017,56,6908.5,-104.7,-416.2,6387.6,892.45,7280.05
March,2017,60,5778.5,-172.2,-1017.2,4589.1,707.43,5296.53
April,2017,70,8814.0,-281.4,0.0,8532.6,1068.3,9600.9
May,2017,54,6677.0,-185.75,-253.8,6237.45,866.46,7103.91
June,2017,68,9621.5,-234.45,-17.5,9369.55,1204.32,10573.87
July,2017,66,6480.0,-51.5,-469.2,5959.3,807.36,6766.66
August,2017,55,8025.0,-258.9,-26.0,7740.1,843.46,8583.56
September,2017,68,7075.0,-61.7,-281.0,6732.3,907.32,7639.62
October,2017,59,5720.0,-88.0,-305.0,5327.0,695.42,6022.42
November,2017,91,13025.0,-131.3,-323.85,12569.85,1555.1,14124.95
December,2017,116,10356.05,-149.85,-414.2,9792.0,1340.85,11132.85
January,2018,83,8923.0,-217.1,-26.25,8679.65,1180.18,9859.83
February,2018,69,6529.2,-161.35,-118.15,6249.7,908.91,7158.61
March,2018,64,7442.7,-226.82,-8.8,7207.08,1226.92,8434.0
April,2018,81,9406.35,-232.28,-40.0,9134.07,1387.56,10521.63
May,2018,82,7493.9,-221.25,-1448.02,5824.63,1234.95,7059.58
June,2018,124,13260.8,-335.4,-1506.53,11418.87,2124.49,13543.36
July,2018,102,9274.95,-237.87,-689.98,8347.1,1627.03,9974.13
July,2017,66,6480.0,-51.5,-469.2,5959.3,807.36,6766.66
January,2018,83,8923.0,-217.1,-26.25,8679.65,1180.18,9859.83
January,2017,73,8861.5,-129.4,-448.45,8283.65,1088.3,9371.95
September,2017,68,7075.0,-61.7,-281.0,6732.3,907.32,7639.62
November,2017,91,13025.0,-131.3,-323.85,12569.85,1555.1,14124.95
